service_id,start_date,end_date,monday,tuesday,wednesday,thursday,friday,saturday,sunday
6,20171126,20180203,0,0,0,0,0,0,0
13,20171126,20180203,1,1,1,1,0,0,0
802,20180204,20180428,0,0,0,0,0,0,0
15,20171210,20171222,1,1,1,1,0,0,0
4_merged_921661,20180204,20180428,0,0,0,0,0,0,1
17,20171222,20180109,1,1,1,1,1,0,0
3_merged_921656,20171126,20180203,0,0,0,0,0,1,0
3_merged_921659,20180204,20180428,0,0,0,0,0,1,0
16,20171210,20171222,0,0,0,0,1,0,0
2_merged_921660,20180204,20180428,1,1,1,1,1,0,0
3702,20180204,20180428,0,0,0,0,0,0,0
3903,20180204,20180428,0,0,0,0,0,0,0
5,20171126,20180203,0,0,0,0,0,0,0
4_merged_921658,20171126,20180203,0,0,0,0,0,0,1
2_merged_921657,20171126,20180203,1,1,1,1,1,0,0
9,20171126,20180203,0,0,0,0,1,0,0
8,20171126,20180203,0,0,0,0,0,0,0
3402,20180204,20180428,0,0,0,0,0,0,0
3302,20180204,20180428,0,0,0,0,0,0,0
3602,20180204,20180428,0,0,0,0,0,0,0
