service_id,date,exception_type
6,20171225,1
13,20171211,2
13,20171212,2
13,20171213,2
13,20171214,2
13,20171228,2
13,20171218,2
13,20171219,2
13,20180101,2
13,20180102,2
13,20171221,2
13,20171220,2
13,20171225,2
13,20171227,2
13,20171226,2
802,20180221,1
802,20180220,1
802,20180223,1
802,20180222,1
15,20180101,2
15,20171225,2
15,20171226,2
4_merged_921661,20180219,1
4_merged_921661,20180330,1
17,20180101,2
17,20171225,2
17,20171226,2
2_merged_921660,20180219,2
2_merged_921660,20180330,2
3702,20180427,1
3702,20180420,1
3903,20180303,1
3903,20180317,1
3903,20180310,1
3903,20180324,1
3903,20180407,1
3903,20180414,1
3903,20180331,1
3903,20180224,1
3903,20180421,1
3903,20180210,1
3903,20180217,1
5,20171226,1
4_merged_921658,20180101,1
4_merged_921658,20171231,2
2_merged_921657,20180101,2
2_merged_921657,20171225,2
2_merged_921657,20171226,2
9,20171229,2
9,20171222,2
9,20171215,2
8,20171231,1
3402,20180302,1
3402,20180316,1
3402,20180413,1
3402,20180309,1
3402,20180406,1
3402,20180323,1
3402,20180209,1
3402,20180216,1
3302,20180301,1
3302,20180306,1
3302,20180307,1
3302,20180305,1
3302,20180412,1
3302,20180308,1
3302,20180327,1
3302,20180320,1
3302,20180321,1
3302,20180322,1
3302,20180328,1
3302,20180212,1
3302,20180213,1
3302,20180214,1
3302,20180215,1
3302,20180329,1
3302,20180326,1
3302,20180315,1
3302,20180314,1
3302,20180411,1
3302,20180409,1
3302,20180313,1
3302,20180312,1
3302,20180405,1
3302,20180404,1
3302,20180319,1
3302,20180403,1
3302,20180402,1
3302,20180208,1
3302,20180227,1
3302,20180226,1
3302,20180228,1
3302,20180207,1
3302,20180206,1
3302,20180205,1
3302,20180410,1
3602,20180418,1
3602,20180419,1
3602,20180416,1
3602,20180417,1
3602,20180426,1
3602,20180425,1
3602,20180424,1
3602,20180423,1
