route_long_name,route_type,route_text_color,route_color,agency_id,route_id,route_url,route_desc,route_short_name
Route 7,3,000000,9D3CFF,LTC -2017 NOVEMBER  Schedules Rev 1.0,3416,,,07
Route 9,3,000000,B36666,LTC -2017 NOVEMBER  Schedules Rev 1.0,3417,,,09
Route 5,3,000000,00FF00,LTC -2017 NOVEMBER  Schedules Rev 1.0,3414,,,05
Route 6,3,000000,008080,LTC -2017 NOVEMBER  Schedules Rev 1.0,3415,,,06
Route 3,3,000000,C28585,LTC -2017 NOVEMBER  Schedules Rev 1.0,3412,,,03
Route 4,3,000000,7373B9,LTC -2017 NOVEMBER  Schedules Rev 1.0,3413,,,04
Route 1,3,000000,70C2DA,LTC -2017 NOVEMBER  Schedules Rev 1.0,3410,,,01
Route 2,3,000000,0080C0,LTC -2017 NOVEMBER  Schedules Rev 1.0,3411,,,02
Route 10,3,000000,96BEFA,LTC -2017 NOVEMBER  Schedules Rev 1.0,3418,,,10
Route 102,3,000000,C58AFF,LTC -2017 NOVEMBER  Schedules Rev 1.0,3419,,,102
Route 40,3,000000,FF0DFF,LTC -2018 FEBRUARY Schedules,3555,,,40
Route 39,3,,C58AFF,LTC -2018 FEBRUARY Schedules,3554,,,39
Route 38,3,,FF5555,LTC -2018 FEBRUARY Schedules,3553,,,38
Route 37,3,,0098E1,LTC -2018 FEBRUARY Schedules,3552,,,37
Route 36,3,,B43D61,LTC -2018 FEBRUARY Schedules,3551,,,36
Route 35,3,,DBC004,LTC -2018 FEBRUARY Schedules,3550,,,35
Route 17,3,,FF2828,LTC -2017 NOVEMBER  Schedules Rev 1.0,3428,,,17
Route 90,3,000000,FF8A15,LTC -2018 FEBRUARY Schedules,3566,,,90
Route 91,3,000000,FF8000,LTC -2018 FEBRUARY Schedules,3567,,,91
Route 92,3,000000,FF8000,LTC -2018 FEBRUARY Schedules,3568,,,92
Route 92,3,000000,FF8000,LTC -2017 NOVEMBER  Schedules Rev 1.0,3462,,,92
Route 91,3,000000,FF8000,LTC -2017 NOVEMBER  Schedules Rev 1.0,3461,,,91
Route 90,3,000000,FF8A15,LTC -2017 NOVEMBER  Schedules Rev 1.0,3460,,,90
Route 4,3,000000,7373B9,LTC -2018 FEBRUARY Schedules,3519,,,04
Route 3,3,000000,C28585,LTC -2018 FEBRUARY Schedules,3518,,,03
Route 2,3,000000,0080C0,LTC -2018 FEBRUARY Schedules,3517,,,02
Route 1,3,000000,70C2DA,LTC -2018 FEBRUARY Schedules,3516,,,01
Route 19,3,,71D0FF,LTC -2017 NOVEMBER  Schedules Rev 1.0,3429,,,19
Route 104,3,000000,C58AFF,LTC -2018 FEBRUARY Schedules,3526,,,104
Route 106,3,000000,C58AFF,LTC -2018 FEBRUARY Schedules,3527,,,106
Route 10,3,000000,96BEFA,LTC -2018 FEBRUARY Schedules,3524,,,10
Route 102,3,000000,C58AFF,LTC -2018 FEBRUARY Schedules,3525,,,102
Route 7,3,000000,9D3CFF,LTC -2018 FEBRUARY Schedules,3522,,,07
