block_id,bikes_allowed,route_id,wheelchair_accessible,direction_id,trip_headsign,shape_id,service_id,trip_id,trip_short_name
b_46651,0,3546,0,1,Alumni Hall via Limberlost,42891,2_merged_921660,914937,
b_46663,0,3535,0,1,Downtown via Hyde Park,42780,4_merged_921661,912673,
b_46648,0,3535,0,0,Hyde Park Power Centre via Hyde Park,42778,2_merged_921660,912543,
a_45120,0,3428,0,0,Argyle Mall via Oxford,41444,3_merged_921656,882710,
a_45119,0,3428,0,0,Argyle Mall via Oxford,41444,3_merged_921656,882711,
a_45118,0,3428,0,0,Argyle Mall via Oxford,41444,3_merged_921656,882712,
a_45117,0,3428,0,0,Argyle Mall via Oxford,41444,3_merged_921656,882713,
a_45120,0,3428,0,0,Argyle Mall via Oxford,41444,3_merged_921656,882714,
a_45119,0,3428,0,0,Argyle Mall via Oxford,41444,3_merged_921656,882715,
a_45118,0,3428,0,0,Argyle Mall via Oxford,41444,3_merged_921656,882716,
a_45117,0,3428,0,0,Argyle Mall via Oxford,41444,3_merged_921656,882717,
a_45120,0,3428,0,0,Argyle Mall via Oxford,41444,3_merged_921656,882718,
a_45119,0,3428,0,0,Argyle Mall via Oxford,41444,3_merged_921656,882719,
b_46392,0,3528,0,0,Westmount Mall via Wharncliffe,42626,3_merged_921659,910079,
b_46695,0,3538,0,1,Downtown via Berkshire Village,42826,3_merged_921659,913559,
b_46696,0,3538,0,1,Downtown via Berkshire Village,42826,3_merged_921659,913558,
b_46695,0,3538,0,1,Downtown via Berkshire Village,42826,3_merged_921659,913557,
b_46696,0,3538,0,1,Downtown via Berkshire Village,42826,3_merged_921659,913556,
b_46695,0,3538,0,1,Downtown via Berkshire Village,42826,3_merged_921659,913555,
b_46696,0,3538,0,1,Downtown via Berkshire Village,42826,3_merged_921659,913554,
b_46695,0,3538,0,1,Downtown via Berkshire Village,42826,3_merged_921659,913553,
b_46696,0,3538,0,1,Downtown via Berkshire Village,42826,3_merged_921659,913552,
b_46695,0,3538,0,1,Downtown via Berkshire Village,42826,3_merged_921659,913551,
b_46696,0,3538,0,1,Downtown via Berkshire Village,42826,3_merged_921659,913550,
a_45039,0,3424,0,1,Masonville Mall via Westminster Park,41348,4_merged_921658,881199,
a_45040,0,3424,0,1,Masonville Mall via Westminster Park,41348,4_merged_921658,881198,
a_45041,0,3424,0,1,Masonville Mall via Wellington & Richmond,41349,4_merged_921658,881193,
a_45039,0,3424,0,1,Masonville Mall via Wellington & Richmond,41349,4_merged_921658,881192,
a_45041,0,3424,0,1,Masonville Mall via Wellington & Richmond,41349,4_merged_921658,881191,
a_45039,0,3424,0,1,Masonville Mall via Wellington & Richmond,41349,4_merged_921658,881190,
a_45041,0,3424,0,1,Masonville Mall via Wellington & Richmond,41349,4_merged_921658,881197,
a_45039,0,3424,0,1,Masonville Mall via Wellington & Richmond,41349,4_merged_921658,881196,
a_45041,0,3424,0,1,Masonville Mall via Wellington & Richmond,41349,4_merged_921658,881195,
a_45039,0,3424,0,1,Masonville Mall via Wellington & Richmond,41349,4_merged_921658,881194,
b_46658,0,3547,0,0,Huron & Highbury via Windermere,42896,3_merged_921659,915227,
b_46659,0,3547,0,0,Huron & Highbury via Windermere,42896,3_merged_921659,915226,
b_46657,0,3547,0,0,Huron & Highbury via Windermere,42896,3_merged_921659,915225,
b_46661,0,3547,0,0,Huron & Highbury via Windermere,42896,3_merged_921659,915224,
b_46656,0,3547,0,0,Huron & Highbury via Windermere,42896,3_merged_921659,915223,
b_46660,0,3547,0,0,Huron & Highbury via Windermere,42896,3_merged_921659,915222,
b_46658,0,3547,0,0,Huron & Highbury via Windermere,42896,3_merged_921659,915221,
b_46659,0,3547,0,0,Huron & Highbury via Windermere,42896,3_merged_921659,915220,
b_46656,0,3547,0,1,Adelaide & Huron Only,42902,3_merged_921659,915229,
b_46660,0,3547,0,0,Huron & Highbury via Windermere,42896,3_merged_921659,915228,
b_46711,0,3541,0,1,Downtown via Wharncliffe,42854,3_merged_921659,913991,
b_46652,0,3546,0,1,Alumni Hall via Limberlost,42891,2_merged_921660,914932,
b_46197,0,3516,0,0,1B - King Edward via Wellington & Dundas,42360,4_merged_921661,905372,
b_46658,0,3546,0,1,Alumni Hall via Limberlost,42891,3_merged_921659,915021,
a_45167,0,3430,0,0,Fanshawe College via Downtown,41484,2_merged_921657,883187,
a_45219,0,3438,0,1,Capulet Lane via Sarnia,41570,13,885298,
a_45220,0,3438,0,1,Capulet Lane via Sarnia,41570,13,885299,
a_45219,0,3438,0,1,,41568,13,885294,
a_45218,0,3438,0,1,,41568,13,885295,
a_45219,0,3438,0,1,Capulet Lane via Sarnia,41570,13,885296,
a_45220,0,3438,0,1,Capulet Lane via Sarnia,41570,13,885297,
a_45218,0,3438,0,0,Natural Science via Sarnia,41566,13,885290,
